21:45:08.037 [main] INFO  com.ev_station.evstation.EvStationApplication - Starting EvStationApplication using Java 11.0.9 on DESKTOP-JL8SMDL with PID 12868 (C:\Users\sande\OneDrive\Documents\javaPrograms\ev-station\target\classes started by sande in C:\Users\sande\OneDrive\Documents\javaPrograms)
21:45:08.049 [main] INFO  com.ev_station.evstation.EvStationApplication - No active profile set, falling back to 1 default profile: "default"
21:45:14.830 [main] INFO  com.ev_station.evstation.EvStationApplication - Started EvStationApplication in 7.346 seconds (JVM running for 8.099)
21:45:42.233 [http-nio-8080-exec-1] INFO  com.ev_station.evstation.Service.StationService - Request for list of stations
21:48:27.852 [main] INFO  com.ev_station.evstation.EvStationApplication - Starting EvStationApplication using Java 11.0.9 on DESKTOP-JL8SMDL with PID 18572 (C:\Users\sande\OneDrive\Documents\javaPrograms\ev-station\target\classes started by sande in C:\Users\sande\OneDrive\Documents\javaPrograms)
21:48:27.857 [main] INFO  com.ev_station.evstation.EvStationApplication - No active profile set, falling back to 1 default profile: "default"
21:48:33.640 [main] INFO  com.ev_station.evstation.EvStationApplication - Started EvStationApplication in 6.254 seconds (JVM running for 6.853)
21:49:52.784 [main] INFO  com.ev_station.evstation.EvStationApplication - Starting EvStationApplication using Java 11.0.9 on DESKTOP-JL8SMDL with PID 14996 (C:\Users\sande\OneDrive\Documents\javaPrograms\ev-station\target\classes started by sande in C:\Users\sande\OneDrive\Documents\javaPrograms)
21:49:52.787 [main] INFO  com.ev_station.evstation.EvStationApplication - No active profile set, falling back to 1 default profile: "default"
21:49:58.410 [main] INFO  com.ev_station.evstation.EvStationApplication - Started EvStationApplication in 6.051 seconds (JVM running for 6.599)
22:16:27.460 [main] INFO  com.ev_station.evstation.EvStationApplication - Starting EvStationApplication using Java 11.0.9 on DESKTOP-JL8SMDL with PID 9024 (C:\Users\sande\OneDrive\Documents\javaPrograms\ev-station\target\classes started by sande in C:\Users\sande\OneDrive\Documents\javaPrograms)
22:16:27.465 [main] INFO  com.ev_station.evstation.EvStationApplication - No active profile set, falling back to 1 default profile: "default"
22:17:06.253 [main] INFO  com.ev_station.evstation.EvStationApplication - Starting EvStationApplication using Java 11.0.9 on DESKTOP-JL8SMDL with PID 12864 (C:\Users\sande\OneDrive\Documents\javaPrograms\ev-station\target\classes started by sande in C:\Users\sande\OneDrive\Documents\javaPrograms)
22:17:06.254 [main] INFO  com.ev_station.evstation.EvStationApplication - No active profile set, falling back to 1 default profile: "default"
22:17:14.170 [main] INFO  com.ev_station.evstation.EvStationApplication - Started EvStationApplication in 8.76 seconds (JVM running for 9.802)
22:22:10.258 [main] INFO  com.ev_station.evstation.EvStationApplication - Starting EvStationApplication using Java 11.0.9 on DESKTOP-JL8SMDL with PID 15032 (C:\Users\sande\OneDrive\Documents\javaPrograms\ev-station\target\classes started by sande in C:\Users\sande\OneDrive\Documents\javaPrograms)
22:22:10.265 [main] INFO  com.ev_station.evstation.EvStationApplication - No active profile set, falling back to 1 default profile: "default"
22:22:21.005 [main] INFO  com.ev_station.evstation.EvStationApplication - Started EvStationApplication in 11.89 seconds (JVM running for 13.247)
